"ID Pedido","Fecha Solicitud","ID Cliente","Nombre Cliente","Centro de Distribución","ID Distrito",Distrito,"Tipo Cliente","Tarifa por kg","Peso (kg)",Facturación,"Volumen (m3)","Fecha de Entrega","Días de Entrega","Status Orden","Tipo de pedido",Penalidad,"Beneficio Neto"
450005396,2023-01-01,C0000178,"Iver Darridon Kinch",Lima,18,Barranco,Corporativo,4.13,77.40,319.66,0.4272,2023-01-03,2,"Entrega a tiempo",Grande,0,319.66
450047193,2023-01-01,C0000050,"Rudolf Sorrill Camelia",Lima,28,"La Molina",Mayorista,4.14,21.17,87.64,0.1587,2023-01-03,2,"Entrega a tiempo",Grande,0,87.64
450048022,2023-01-01,C0000026,"Dee dee Phythean MacAleese",Lima,25,"El Agustino",Corporativo,3.17,153.90,487.86,0.9234,2023-01-02,1,"Entrega a tiempo",Grande,0,487.86
450056717,2023-01-01,C0000094,"Winny Kubes McMearty",Lima,33,Lurigancho,Mayorista,3.08,70.84,218.19,0.3825,2023-01-02,1,"Entrega a tiempo",Grande,0,218.19
450057566,2023-01-01,C0000021,"Jeramie Callway DHooge",Lima,22,Chorrillos,Mayorista,4.48,116.13,520.26,0.5086,2023-01-03,2,"Entrega a tiempo",Grande,0,520.26
450063142,2023-01-01,C0000078,"Bearnard Lappin Maidens",Lima,35,"Magdalena Del Mar",Mayorista,2.95,113.02,333.41,0.5493,2023-01-03,2,"Entrega a tiempo",Grande,0,333.41
450064293,2023-01-01,C0000272,"Matthiew MacQuaker Bourgeois",Arequipa,81,Socabaya,Mayorista,4.93,128.06,631.34,0.5456,2023-01-02,1,"Entrega a tiempo",Grande,0,631.34
450082467,2023-01-01,C0000134,"Cassie Lippatt Axup",Lima,33,Lurigancho,Corporativo,3.08,59.09,182.00,0.2765,2023-01-03,2,"Entrega a tiempo",Grande,0,182.00
450012430,2023-01-02,C0000015,"Lucho Nunan McEnhill",Lima,38,Pachacamac,Mayorista,3.70,96.64,357.57,0.6668,2023-01-03,1,"Entrega a tiempo",Grande,0,357.57
450019999,2023-01-02,C0000113,"Linet Dyter Olwen",Lima,22,Chorrillos,Mayorista,4.48,21.81,97.71,0.1309,2023-01-03,1,"Entrega a tiempo",Grande,0,97.71
450027210,2023-01-02,C0000189,"Noelani Mathison Euplate",Lima,54,"Santa Rosa",Mayorista,3.07,60.00,184.20,0.2880,2023-01-03,1,"Entrega a tiempo",Grande,0,184.20
450029229,2023-01-02,C0000270,"Katheryn Simmgen Rylstone",Arequipa,79,"Santa Isabel De Siguas",Mayorista,4.25,4.78,20.32,0.0267,2023-01-03,1,"Entrega a tiempo",Pequeño,0,20.32
450031710,2023-01-02,C0000005,"Grant Gavagan Challace",Lima,33,Lurigancho,Mayorista,3.08,152.58,469.95,1.0528,2023-01-03,1,"Entrega a tiempo",Grande,0,469.95
450034622,2023-01-02,C0000201,"Tedra Skitt Miliffe",Lima,19,Breña,Mayorista,4.14,51.12,211.64,0.2699,2023-01-04,2,"Entrega a tiempo",Grande,0,211.64
450068794,2023-01-02,C0000094,"Winny Kubes McMearty",Lima,33,Lurigancho,Mayorista,3.08,6.21,19.13,0.0354,2023-01-05,3,"Penalidad 5%",Mediano,0.96,18.17
450072694,2023-01-02,C0000173,"Anders Faherty Gaffon",Lima,52,"Santa Anita",Mayorista,4.38,77.46,339.27,0.4973,2023-01-03,1,"Entrega a tiempo",Grande,0,339.27
450002186,2023-01-03,C0000197,"Martica Bourgaize Melmore",Lima,43,Rimac,Corporativo,3.92,48.58,190.43,0.2390,2023-01-05,2,"Entrega a tiempo",Grande,0,190.43
450010522,2023-01-03,C0000113,"Linet Dyter Olwen",Lima,22,Chorrillos,Mayorista,4.48,21.81,97.71,0.3675,2023-01-05,2,"Entrega a tiempo",Grande,0,97.71
450028300,2023-01-03,C0000275,"Tedman Flagg Ioselevich",Arequipa,87,Yura,Mayorista,4.82,120.00,578.40,0.6840,2023-01-05,2,"Entrega a tiempo",Grande,0,578.40
450061192,2023-01-03,C0000165,"Rivalee Borwick Spirritt",Lima,53,"Santa Maria Del Mar",Corporativo,3.81,152.10,579.50,0.6571,2023-01-05,2,"Entrega a tiempo",Grande,0,579.50
450061910,2023-01-03,C0000007,"Lorri Iacobo Brittin",Lima,46,"San Isidro",Mayorista,4.12,47.59,196.07,0.2256,2023-01-05,2,"Entrega a tiempo",Grande,0,196.07
450064342,2023-01-03,C0000277,"Jesselyn OMullaney Selkirk",Chiclayo,12,Pimentel,Mayorista,4.00,144.94,579.76,0.8088,2023-01-04,1,"Entrega a tiempo",Grande,0,579.76
450079967,2023-01-03,C0000261,"Reagan Affron Hanner",Arequipa,59,"Alto Selva Alegre",Mayorista,4.96,118.86,589.55,0.5491,2023-01-05,2,"Entrega a tiempo",Grande,0,589.55
450086690,2023-01-03,C0000292,"Lynn Pickworth Pappi",Chiclayo,8,Monsefu,Corporativo,3.67,122.76,450.53,0.7734,2023-01-04,1,"Entrega a tiempo",Grande,0,450.53
450017751,2023-01-04,C0000161,"Ulberto Jancso Copin",Lima,22,Chorrillos,Mayorista,4.48,41.58,186.28,0.2096,2023-01-05,1,"Entrega a tiempo",Grande,0,186.28
450041362,2023-01-04,C0000167,"Anderson Pretswell Boydon",Lima,50,"San Martin De Porres",Corporativo,3.40,18.84,64.06,0.1289,2023-01-06,2,"Entrega a tiempo",Mediano,0,64.06
450050022,2023-01-04,C0000283,"Hanni Ruddiman Hamner",Chiclayo,5,"Jose Leonardo Ortiz",Mayorista,3.72,110.48,410.99,0.5834,2023-01-05,1,"Entrega a tiempo",Grande,0,410.99
450059201,2023-01-04,C0000281,"Madison Milson Lenthall",Chiclayo,12,Pimentel,Mayorista,4.00,61.83,247.32,0.4785,2023-01-05,1,"Entrega a tiempo",Grande,0,247.32
450069910,2023-01-04,C0000259,"Shae Nannetti Comusso",Arequipa,74,Quequeña,Mayorista,5.05,96.89,489.29,0.4127,2023-01-05,1,"Entrega a tiempo",Grande,0,489.29
450077094,2023-01-04,C0000097,"Legra OScannill Staterfield",Lima,18,Barranco,Mayorista,4.13,40.11,165.65,0.1733,2023-01-05,1,"Entrega a tiempo",Grande,0,165.65
